title,authors,paper_url,github_url,github_stars,published_date,source_url,source
Compile by Training: Turning Natural-Language Specifications into Local Neural Functions,Yuntian Deng; Pengyu Nie; Stuart Shieber,http://arxiv.org/abs/2609.04199v1,,,2026-09-03T17:59:49Z,http://arxiv.org/abs/2609.04199v1,arXiv
"Clean Engineering, Unstable Measurement: A Preregistered Reliability Failure of Black-Box LLM Observers on Shared Endpoints",Haoyaun Zhu; Jie Zhang,http://arxiv.org/abs/2609.04198v1,,,2026-09-03T17:59:43Z,http://arxiv.org/abs/2609.04198v1,arXiv
"ESPO: Error-Structured Prompt Optimization via Diagnose, Diversify, and Stabilize",Lihao Liu; Peng Tang; Kunwar Yashraj Singh; Shabnam Ghadar,http://arxiv.org/abs/2609.04197v1,,,2026-09-03T17:59:37Z,http://arxiv.org/abs/2609.04197v1,arXiv
"One Editor, Many Edits: A Unified Training-Free Framework for Diverse Video Editing",Adheesh Sunil Juvekar; Onkar Kishor Susladkar; Kiet A. Nguyen; Muntasir Wahed; Nabeel Bashir; Xiaona Zhou; Tianjiao Yu; Vedant Shah; Ismini Lourentzou,http://arxiv.org/abs/2609.04190v1,,,2026-09-03T17:59:01Z,http://arxiv.org/abs/2609.04190v1,arXiv
Seeing Before Synthesizing: VLM-Guided Transition Event Discovery for Weakly-Supervised Dense Video Captioning,Ye-Chan Kim; Seunghee Choi; SeungJu Cha; Si-Woo Kim; Hwiseon Kim; Hyungee Kim; Dong-Jin Kim,http://arxiv.org/abs/2609.04183v1,,,2026-09-03T17:58:02Z,http://arxiv.org/abs/2609.04183v1,arXiv
Knowledge Acquisition During Pre-training? Large Language Models Learn Better With Auxiliary Views,Joseph Lee; Yidi Huang; Dokyoon Kim; Shu Yang; Li Shen,http://arxiv.org/abs/2609.04180v1,,,2026-09-03T17:57:02Z,http://arxiv.org/abs/2609.04180v1,arXiv
A Computationally Feasible Framework for Causal Probabilistic Explanation,Rafal Urbaniak; Sam Witty; Daniel Waxman; Andy Zane; Poorva Garg; Emily Bunnapradist; Sankaran Vaidyanathan; Jack Feser; Drew Lehe; Eli Bingham,http://arxiv.org/abs/2609.04177v1,,,2026-09-03T17:55:43Z,http://arxiv.org/abs/2609.04177v1,arXiv
Rethinking On-Policy Distillation of Large Language Models II: One Training Example,Zixuan Fu; Bingxiang He; Yuxin Zuo; Haohuan Huang; Jinqian Zhang; Ruhang Xiao; Cheng Qian; Qinyu Luo; Huan-ang Gao; Yudong Wang; Zhiyuan Liu; Ning Ding; Chaojun Xiao,http://arxiv.org/abs/2609.04172v1,,,2026-09-03T17:54:38Z,http://arxiv.org/abs/2609.04172v1,arXiv
A Case Study on Emergent Cheating and Whistleblowing in Autonomous Research Swarms,Davide Paglieri; Logan Cross; Tim Genewein; Joel Z. Leibo; Nenad Tomasev; Alexander Sasha Vezhnevets,http://arxiv.org/abs/2609.04170v1,,,2026-09-03T17:54:09Z,http://arxiv.org/abs/2609.04170v1,arXiv
SWE-Gate: Passing Functional Tests Is Not Enough for Software Engineering Agents,Xin He; Yanlin Wang; Mingwei Liu; Jiachi Chen; Hongyu Zhang; Guanbin Li,http://arxiv.org/abs/2609.04167v1,,,2026-09-03T17:53:34Z,http://arxiv.org/abs/2609.04167v1,arXiv
From Deceptive Outputs to Deceptive Mechanisms: A Causal Framework for Language-Model Deception Research,Yakov Pyotr Shkolnikov,http://arxiv.org/abs/2609.04166v1,,,2026-09-03T17:52:19Z,http://arxiv.org/abs/2609.04166v1,arXiv
SENTINEL-RL: Offloading Topological Reasoning from LLM Agents in the Security Operations Center,Uday Vallabhaneni; Cassie L. Cagwin; David J. Wild,http://arxiv.org/abs/2609.04159v1,,,2026-09-03T17:49:12Z,http://arxiv.org/abs/2609.04159v1,arXiv
Terminal-Universe: Turning Agent Trajectories into Scalable Terminal Environments,Jie Wu; Zhenru Zhang; Beichen Zhang; Xuwu Wang; Yuhui Su; Mouxiang Chen; Peng Wang; Zhihai Wang; Que Shen; Hao Zhou; An Yang; Fei Huang; Yujiu Yang; Dayiheng Liu,http://arxiv.org/abs/2609.04148v1,,,2026-09-03T17:41:05Z,http://arxiv.org/abs/2609.04148v1,arXiv
"A Low-Cost, Open Platform for End-to-End Autonomous Driving on a Miniature Ackermann Vehicle",Gustavo Claudio Karl Couto; Eric Aislan Antonelo; Gabriel George Zipperer,http://arxiv.org/abs/2609.04147v1,,,2026-09-03T17:40:20Z,http://arxiv.org/abs/2609.04147v1,arXiv
Efficient Test-Time Adaptation through Human-AI Interaction,Zora Zhiruo Wang; Apurva Gandhi; Rulin Shao; Aspen Chen; Jonas Mueller; Zhiqi Liang; Jett Chen; Michael Ryan; Qianou Ma; Luxi He; Zhoujun Cheng; Andre He; Seungone Kim; Jiayi Geng; Mingqian Zheng; Weiwei Sun; Zheyuan Zhang; Xinran Zhao; Yike Wang; Abe Hou; Liwei Jiang; Pang Wei Koh; Diyi Yang; Graham Neubig; Daniel Fried,http://arxiv.org/abs/2609.04141v1,,,2026-09-03T17:33:18Z,http://arxiv.org/abs/2609.04141v1,arXiv
The Natural Language Interaction Protocol and Standard for AI Agents,Luyi Xing; Rasit Onur Topaloglu; Ranjan Sinha; Abhay Ratnaparkhi; Samuel Ndichu; Christopher Nguyen; Anindita Das; Tom Sheffler; Mohamed Rahouti; Zichuan Li; Xiaojing Liao; Sanjay Aiyagari,http://arxiv.org/abs/2609.04135v1,,,2026-09-03T17:30:17Z,http://arxiv.org/abs/2609.04135v1,arXiv
